Month,Comedian: (United States)
2019-12,5
2020-01,10
2020-02,20
2020-03,13
2020-04,10
2020-05,5
2020-06,6
2020-07,5
2020-08,7
2020-09,12
2020-10,0
2020-11,5
2020-12,0
2021-01,0
2021-02,5
2021-03,0
2021-04,0
2021-05,0
2021-06,6
2021-07,0
2021-08,0
2021-09,8
2021-10,8
2021-11,9
2021-12,12
2022-01,15
2022-02,14
2022-03,10
2022-04,15
2022-05,17
2022-06,9
2022-07,12
2022-08,7
2022-09,15
2022-10,13
2022-11,14
2022-12,14
2023-01,11
2023-02,15
2023-03,8
2023-04,14
2023-05,35
2023-06,9
2023-07,10
2023-08,9
2023-09,18
2023-10,14
2023-11,9
2023-12,11
2024-01,8
2024-02,7
2024-03,8
2024-04,10
2024-05,7
2024-06,0
2024-07,0
2024-08,5
2024-09,9
2024-10,11
2024-11,100
2024-12,35
2025-01,9
2025-02,16
2025-03,4
2025-04,8
2025-05,8
